palika_id,province_en,province_ne,district_en,district_ne,palika_name_en,palika_name_ne,palika_type_en,palika_type_ne,palika_full_name_en,palika_full_name_ne,palika_label,wards,population_2021,area_km2,website,source_url
bagmati-bhaktapur-bhaktapur-municipality,Bagmati,बागमती,Bhaktapur,भक्तपुर,Bhaktapur,भक्तपुर,Municipality,नगरपालिका,Bhaktapur Municipality,भक्तपुर नगरपालिका,भक्तपुर नगरपालिका / Bhaktapur Municipality,10,79136,6.89,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-bhaktapur-changunarayan-municipality,Bagmati,बागमती,Bhaktapur,भक्तपुर,Changunarayan,चाँगुनारायण,Municipality,नगरपालिका,Changunarayan Municipality,चाँगुनारायण नगरपालिका,चाँगुनारायण नगरपालिका / Changunarayan Municipality,9,88083,62.98,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-bhaktapur-madhyapur-thimi-municipality,Bagmati,बागमती,Bhaktapur,भक्तपुर,Madhyapur Thimi,मध्यपुर थिमी,Municipality,नगरपालिका,Madhyapur Thimi Municipality,मध्यपुर थिमी नगरपालिका,मध्यपुर थिमी नगरपालिका / Madhyapur Thimi Municipality,9,119756,11.47,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-bhaktapur-suryabinayak-municipality,Bagmati,बागमती,Bhaktapur,भक्तपुर,Suryabinayak,सूर्यविनायक,Municipality,नगरपालिका,Suryabinayak Municipality,सूर्यविनायक नगरपालिका,सूर्यविनायक नगरपालिका / Suryabinayak Municipality,10,140085,42.45,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-bharatpur-metropolitan-city,Bagmati,बागमती,Chitwan,चितवन,Bharatpur,भरतपुर,Metropolitan City,महानगरपालिका,Bharatpur Metropolitan City,भरतपुर महानगरपालिका,भरतपुर महानगरपालिका / Bharatpur Metropolitan City,29,369268,432.95,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-ichchhakamana-gaunpalika,Bagmati,बागमती,Chitwan,चितवन,Ichchhakamana,इच्छाकामना,Gaunpalika,गाउँपालिका,Ichchhakamana Gaunpalika,इच्छाकामना गाउँपालिका,इच्छाकामना गाउँपालिका / Ichchhakamana Gaunpalika,0,27643,166.73,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
bagmati-chitwan-kalika-municipality,Bagmati,बागमती,Chitwan,चितवन,Kalika,कालिका,Municipality,नगरपालिका,Kalika Municipality,कालिका नगरपालिका,कालिका नगरपालिका / Kalika Municipality,11,52164,149.08,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-khairhani-municipality,Bagmati,बागमती,Chitwan,चितवन,Khairhani,खैरहनी,Municipality,नगरपालिका,Khairhani Municipality,खैरहनी नगरपालिका,खैरहनी नगरपालिका / Khairhani Municipality,13,67385,85.55,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-madi-municipality,Bagmati,बागमती,Chitwan,चितवन,Madi,माडी,Municipality,नगरपालिका,Madi Municipality,माडी नगरपालिका,माडी नगरपालिका / Madi Municipality,9,38295,218.24,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-rapti-municipality,Bagmati,बागमती,Chitwan,चितवन,Rapti,राप्ती,Municipality,नगरपालिका,Rapti Municipality,राप्ती नगरपालिका,राप्ती नगरपालिका / Rapti Municipality,13,66617,212.31,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-chitwan-ratnanagar-municipality,Bagmati,बागमती,Chitwan,चितवन,Ratnanagar,रत्ननगर,Municipality,नगरपालिका,Ratnanagar Municipality,रत्ननगर नगरपालिका,रत्ननगर नगरपालिका / Ratnanagar Municipality,16,89905,68.68,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
bagmati-dhading-benighat-rorang-gaunpalika,Bagmati,बागमती,Dhading,धादिङ,Benighat Rorang,बेनीघाट रोराङ्ग,Gaunpalika,गाउँपालिका,Benighat Rorang Gaunpalika,बेनीघाट रोराङ्ग गाउँपालिका,बेनीघाट रोराङ्ग गाउँपालिका / Benighat Rorang Gaunpalika,0,33854,29.17,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
